,city,developer,price,water-availability,status-of-electricity,furnishing,bedrooms,bathrooms,status,configuration,tower-and-unit-details,recommended-for,neighborhood,roads,safety,cleanliness,public-transport,parking,connectivity,traffic,school,restaurants,hospital,market,locality-rating,verified_id,capacity
0,Mumbai,ParadigmRealty&DotomRealty,13100000,44HoursAvailable,No/RarePowercut,Unfurnished,4,4,0,"1,4BHKFlat","6Towers,1000Units","Retirees,,Family,,Couple,,",4,4,4,4,4,4,4,3,4,4,4,4,45,1,4
1,Mumbai,SanduDevelopers,18700000,EastTalktoourbestVastuConsultantstogetinstantsolutionViewConsultants,P51800006033(TheprojecthasbeenregisteredviaMahaRERAregistrationnumber:P51800006033andisavailableonthewebsitehttps://mahareramahaonlinegovinunderregisteredprojects),"Mosaic,Vitrified,Wooden,CeramicTiles,Marble,NormalTiles/KotahStone,Granite,Marbonite",4SeeDimensionsBedroom114X10ftBedroom414X10ft,4,0,"1,4,3BHKFlat",144Units,"Retirees,,Family,,Couple,,",4,4,4,4,4,4,4,3,4,4,4,4,45,1,4
4,Mumbai,AyodhyaConstructionsCo,17500000,No/RarePowercut,3,,3,4,0,"1,4,3BHKFlat","4Towers,416Units","Retirees,,Family,,Couple,,",4,4,4,3,4,3,4,3,4,3,4,4,41,1,5
3,Mumbai,RomellGroup,18900000,1Covered,44HoursAvailable,4,4,4,0,4BHKFlat,"1Tower,51Units","Retirees,,Family,,Couple,,",4,4,4,4,4,4,4,3,4,4,4,4,46,1,4
4,Mumbai,NRoseDevelopersPvtLtd,14900000,44HoursAvailable,No/RarePowercut,61,4,4,0,"4,3BHKFlat","4Towers,414Units","Retirees,,Family,,Couple,,",4,4,4,4,4,4,4,3,4,4,4,4,44,1,4
5,Mumbai,ApliteGroup,49700000,1Covered,44HoursAvailable,4,4,4,0,"1,4BHKFlat","3Towers,176Units","Family,,Couple,,SingleProfessionals,,",4,4,5,3,4,3,4,3,4,5,4,5,48,1,5
6,Mumbai,JE&VEEInfrastructure,1000000,No/RarePowercut,4,,1,4,0,"1,4BHKFlat","1Tower,54Units","Retirees,,Family,,Couple,,",4,4,4,4,4,4,4,3,4,4,4,4,44,1,5
7,Mumbai,JPInfra,15000000,No/RarePowercut,4,,3,3,0,"1,4,3BHKFlat","3Towers,554Units","Retirees,,Family,,Couple,,",4,4,4,4,5,4,5,4,4,4,4,5,5,1,4
8,Mumbai,NaharGroup,9990000,44HoursAvailable,No/RarePowercut,18,1,1,0,"1,4,3BHKFlat",3Towers,"Retirees,,Family,,Couple,,",4,4,4,4,4,4,4,3,4,4,4,4,45,1,4
9,Mumbai,RightChannelConstructionPvtLtd,10100000,44HoursAvailable,No/RarePowercut,Unfurnished,1SeeDimensionBedroom196X10ft,4,0,"1,4BHKFlat","3Towers,170Units","Retirees,,Family,,Couple,,",4,4,4,4,4,4,4,3,4,4,4,4,44,1,4
10,Mumbai,PiramalRealty,15100000,No/RarePowercut,4,,4,4,0,"1,4,3,4,5BHKFlat|StudioApartment","4Towers,360Units","Retirees,,Family,,Couple,,",4,4,4,4,4,3,4,3,4,4,4,4,46,1,4
